FIPS,STATE,COUNTY_CLEAN,POPULATION,POP_1950,POP_CHANGE_FROM_1950,PCT_CHANGE_FROM_1950
1.01.0,Alabama,Autauga,58805,18186.0,40619.0,223.35
1.03.0,Alabama,Baldwin,231767,40997.0,190770.0,465.33
1.05.0,Alabama,Barbour,25223,28892.0,-3669.0,-12.7
1.07.0,Alabama,Bibb,22293,17987.0,4306.0,23.94
1.09.0,Alabama,Blount,59134,28975.0,30159.0,104.09
1.011.0,Alabama,Bullock,10357,16054.0,-5697.0,-35.49
1.013.0,Alabama,Butler,19051,29228.0,-10177.0,-34.82
1.015.0,Alabama,Calhoun,116441,79539.0,36902.0,46.39
1.017.0,Alabama,Chambers,34772,39528.0,-4756.0,-12.03
1.019.0,Alabama,Cherokee,24971,17634.0,7337.0,41.61
1.021.0,Alabama,Chilton,45014,26922.0,18092.0,67.2
1.023.0,Alabama,Choctaw,12665,19152.0,-6487.0,-33.87
1.025.0,Alabama,Clarke,23087,26548.0,-3461.0,-13.04
1.027.0,Alabama,Clay,14236,13929.0,307.0,2.2
1.029.0,Alabama,Cleburne,15056,11904.0,3152.0,26.48
1.031.0,Alabama,Coffee,53465,30720.0,22745.0,74.04
1.033.0,Alabama,Colbert,57227,39561.0,17666.0,44.66
1.035.0,Alabama,Conecuh,11597,21776.0,-10179.0,-46.74
1.037.0,Alabama,Coosa,10387,11766.0,-1379.0,-11.72
1.039.0,Alabama,Covington,37570,40373.0,-2803.0,-6.94
1.041.0,Alabama,Crenshaw,13194,18981.0,-5787.0,-30.49
1.043.0,Alabama,Cullman,87866,49046.0,38820.0,79.15
1.045.0,Alabama,Dale,49326,20828.0,28498.0,136.83
1.047.0,Alabama,Dallas,38462,56270.0,-17808.0,-31.65
1.049.0,Alabama,DeKalb,71608,45048.0,26560.0,58.96
1.051.0,Alabama,Elmore,87977,31649.0,56328.0,177.98
1.053.0,Alabama,Escambia,36757,31443.0,5314.0,16.9
1.055.0,Alabama,Etowah,103436,93892.0,9544.0,10.16
1.057.0,Alabama,Fayette,16321,19388.0,-3067.0,-15.82
1.059.0,Alabama,Franklin,32113,25705.0,6408.0,24.93
1.061.0,Alabama,Geneva,26659,25899.0,760.0,2.93
1.063.0,Alabama,Greene,7730,16482.0,-8752.0,-53.1
1.065.0,Alabama,Hale,14785,20832.0,-6047.0,-29.03
1.067.0,Alabama,Henry,17146,18674.0,-1528.0,-8.18
1.069.0,Alabama,Houston,107202,46522.0,60680.0,130.43
1.071.0,Alabama,Jackson,52579,38998.0,13581.0,34.82
1.073.0,Alabama,Jefferson,674721,558928.0,115793.0,20.72
1.075.0,Alabama,Lamar,13972,16441.0,-2469.0,-15.02
1.077.0,Alabama,Lauderdale,93564,54179.0,39385.0,72.69
1.079.0,Alabama,Lawrence,33073,27128.0,5945.0,21.91
1.081.0,Alabama,Lee,174241,45073.0,129168.0,286.58
1.083.0,Alabama,Limestone,103570,35766.0,67804.0,189.58
1.085.0,Alabama,Lowndes,10311,18018.0,-7707.0,-42.77
1.087.0,Alabama,Macon,19532,30561.0,-11029.0,-36.09
1.089.0,Alabama,Madison,388153,72903.0,315250.0,432.42
1.091.0,Alabama,Marengo,19323,29494.0,-10171.0,-34.48
