GISJOIN,FIPS,STATE,STATEFP_clean,COUNTY,COUNTY_CLEAN,COUNTYFP_clean,YEAR,POPULATION,AC_ERA,POP_1950,PCT_CHANGE_FROM_1950,REP_STATION,ANN_AVG_TEMP_F,SUMMER_AVG_MAX_F,SUMMER_RH_PCT,COOLING_DEGREE_DAYS,CLIMATE_ZONE
G1300330,13033,Georgia,13,Burke County,Burke,33,1790,9467,Pre-AC,23458.0,-59.64,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1300390,13039,Georgia,13,Camden County,Camden,39,1790,305,Pre-AC,7322.0,-95.83,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1300510,13051,Georgia,13,Chatham County,Chatham,51,1790,10769,Pre-AC,151481.0,-92.89,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301030,13103,Georgia,13,Effingham County,Effingham,103,1790,2424,Pre-AC,9133.0,-73.46,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301190,13119,Georgia,13,Franklin County,Franklin,119,1790,1041,Pre-AC,14446.0,-92.79,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301270,13127,Georgia,13,Glynn County,Glynn,127,1790,413,Pre-AC,29046.0,-98.58,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301330,13133,Georgia,13,Greene County,Greene,133,1790,5405,Pre-AC,12843.0,-57.91,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301790,13179,Georgia,13,Liberty County,Liberty,179,1790,5355,Pre-AC,8444.0,-36.58,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1302450,13245,Georgia,13,Richmond County,Richmond,245,1790,11317,Pre-AC,108876.0,-89.61,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1303030,13303,Georgia,13,Washington County,Washington,303,1790,4552,Pre-AC,21012.0,-78.34,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1303170,13317,Georgia,13,Wilkes County,Wilkes,317,1790,31500,Pre-AC,12388.0,154.28,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G3700070,37007,North Carolina,37,Anson County,Anson,7,1790,5235,Pre-AC,26781.0,-80.45,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700130,37013,North Carolina,37,Beaufort County,Beaufort,13,1790,5405,Pre-AC,37134.0,-85.44,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700150,37015,North Carolina,37,Bertie County,Bertie,15,1790,12462,Pre-AC,26439.0,-52.87,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700170,37017,North Carolina,37,Bladen County,Bladen,17,1790,5100,Pre-AC,29703.0,-82.83,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700190,37019,North Carolina,37,Brunswick County,Brunswick,19,1790,3070,Pre-AC,19238.0,-84.04,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700230,37023,North Carolina,37,Burke County,Burke,23,1790,8106,Pre-AC,45518.0,-82.19,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700290,37029,North Carolina,37,Camden County,Camden,29,1790,4022,Pre-AC,5223.0,-22.99,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700310,37031,North Carolina,37,Carteret County,Carteret,31,1790,3734,Pre-AC,23059.0,-83.81,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700330,37033,North Carolina,37,Caswell County,Caswell,33,1790,10096,Pre-AC,20870.0,-51.62,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700370,37037,North Carolina,37,Chatham County,Chatham,37,1790,9161,Pre-AC,25392.0,-63.92,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700410,37041,North Carolina,37,Chowan County,Chowan,41,1790,4988,Pre-AC,12540.0,-60.22,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700490,37049,North Carolina,37,Craven County,Craven,49,1790,10474,Pre-AC,48823.0,-78.55,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700510,37051,North Carolina,37,Cumberland County,Cumberland,51,1790,8730,Pre-AC,96006.0,-90.91,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700530,37053,North Carolina,37,Currituck County,Currituck,53,1790,5220,Pre-AC,6201.0,-15.82,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700610,37061,North Carolina,37,Duplin County,Duplin,61,1790,5663,Pre-AC,41074.0,-86.21,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700650,37065,North Carolina,37,Edgecombe County,Edgecombe,65,1790,10265,Pre-AC,51634.0,-80.12,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700690,37069,North Carolina,37,Franklin County,Franklin,69,1790,7502,Pre-AC,31341.0,-76.06,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700730,37073,North Carolina,37,Gates County,Gates,73,1790,5386,Pre-AC,9555.0,-43.63,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700770,37077,North Carolina,37,Granville County,Granville,77,1790,10982,Pre-AC,31793.0,-65.46,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700810,37081,North Carolina,37,Guilford County,Guilford,81,1790,7300,Pre-AC,191057.0,-96.18,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700830,37083,North Carolina,37,Halifax County,Halifax,83,1790,14310,Pre-AC,58377.0,-75.49,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
