GISJOIN,FIPS,STATE,STATEFP,COUNTY,COUNTY_CLEAN,COUNTYFP,YEAR,POPULATION,DATA_SPARSE,AC_ERA,POP_1950,POP_CHANGE_FROM_1950,PCT_CHANGE_FROM_1950
G1300330,13.033.0,Georgia,13.0,Burke County,Burke,33.0,1790,9467,True,Pre-AC,23458.0,-13991.0,-59.64
G1300390,13.039.0,Georgia,13.0,Camden County,Camden,39.0,1790,305,True,Pre-AC,7322.0,-7017.0,-95.83
G1300510,13.051.0,Georgia,13.0,Chatham County,Chatham,51.0,1790,10769,True,Pre-AC,151481.0,-140712.0,-92.89
G1301030,13.0103.0,Georgia,13.0,Effingham County,Effingham,103.0,1790,2424,True,Pre-AC,9133.0,-6709.0,-73.46
G1301190,13.0119.0,Georgia,13.0,Franklin County,Franklin,119.0,1790,1041,True,Pre-AC,14446.0,-13405.0,-92.79
G1301270,13.0127.0,Georgia,13.0,Glynn County,Glynn,127.0,1790,413,True,Pre-AC,29046.0,-28633.0,-98.58
G1301330,13.0133.0,Georgia,13.0,Greene County,Greene,133.0,1790,5405,True,Pre-AC,12843.0,-7438.0,-57.91
G1301790,13.0179.0,Georgia,13.0,Liberty County,Liberty,179.0,1790,5355,True,Pre-AC,8444.0,-3089.0,-36.58
G1302450,13.0245.0,Georgia,13.0,Richmond County,Richmond,245.0,1790,11317,True,Pre-AC,108876.0,-97559.0,-89.61
G1303030,13.0303.0,Georgia,13.0,Washington County,Washington,303.0,1790,4552,True,Pre-AC,21012.0,-16460.0,-78.34
G1303170,13.0317.0,Georgia,13.0,Wilkes County,Wilkes,317.0,1790,31500,True,Pre-AC,12388.0,19112.0,154.28
G3700070,37.07.0,North Carolina,37.0,Anson County,Anson,7.0,1790,5235,True,Pre-AC,26781.0,-21546.0,-80.45
G3700130,37.013.0,North Carolina,37.0,Beaufort County,Beaufort,13.0,1790,5405,True,Pre-AC,37134.0,-31729.0,-85.44
G3700150,37.015.0,North Carolina,37.0,Bertie County,Bertie,15.0,1790,12462,True,Pre-AC,26439.0,-13977.0,-52.87
G3700170,37.017.0,North Carolina,37.0,Bladen County,Bladen,17.0,1790,5100,True,Pre-AC,29703.0,-24603.0,-82.83
G3700190,37.019.0,North Carolina,37.0,Brunswick County,Brunswick,19.0,1790,3070,True,Pre-AC,19238.0,-16168.0,-84.04
G3700230,37.023.0,North Carolina,37.0,Burke County,Burke,23.0,1790,8106,True,Pre-AC,45518.0,-37412.0,-82.19
G3700290,37.029.0,North Carolina,37.0,Camden County,Camden,29.0,1790,4022,True,Pre-AC,5223.0,-1201.0,-22.99
G3700310,37.031.0,North Carolina,37.0,Carteret County,Carteret,31.0,1790,3734,True,Pre-AC,23059.0,-19325.0,-83.81
G3700330,37.033.0,North Carolina,37.0,Caswell County,Caswell,33.0,1790,10096,True,Pre-AC,20870.0,-10774.0,-51.62
G3700370,37.037.0,North Carolina,37.0,Chatham County,Chatham,37.0,1790,9161,True,Pre-AC,25392.0,-16231.0,-63.92
G3700410,37.041.0,North Carolina,37.0,Chowan County,Chowan,41.0,1790,4988,True,Pre-AC,12540.0,-7552.0,-60.22
G3700490,37.049.0,North Carolina,37.0,Craven County,Craven,49.0,1790,10474,True,Pre-AC,48823.0,-38349.0,-78.55
G3700510,37.051.0,North Carolina,37.0,Cumberland County,Cumberland,51.0,1790,8730,True,Pre-AC,96006.0,-87276.0,-90.91
G3700530,37.053.0,North Carolina,37.0,Currituck County,Currituck,53.0,1790,5220,True,Pre-AC,6201.0,-981.0,-15.82
G3700595,,North Carolina,37.0,Dobbs County,Dobbs,,1790,6994,True,Pre-AC,,,
G3700610,37.061.0,North Carolina,37.0,Duplin County,Duplin,61.0,1790,5663,True,Pre-AC,41074.0,-35411.0,-86.21
G3700650,37.065.0,North Carolina,37.0,Edgecombe County,Edgecombe,65.0,1790,10265,True,Pre-AC,51634.0,-41369.0,-80.12
G3700690,37.069.0,North Carolina,37.0,Franklin County,Franklin,69.0,1790,7502,True,Pre-AC,31341.0,-23839.0,-76.06
G3700730,37.073.0,North Carolina,37.0,Gates County,Gates,73.0,1790,5386,True,Pre-AC,9555.0,-4169.0,-43.63
G3700770,37.077.0,North Carolina,37.0,Granville County,Granville,77.0,1790,10982,True,Pre-AC,31793.0,-20811.0,-65.46
G3700810,37.081.0,North Carolina,37.0,Guilford County,Guilford,81.0,1790,7300,True,Pre-AC,191057.0,-183757.0,-96.18
G3700830,37.083.0,North Carolina,37.0,Halifax County,Halifax,83.0,1790,14310,True,Pre-AC,58377.0,-44067.0,-75.49
G3700910,37.091.0,North Carolina,37.0,Hertford County,Hertford,91.0,1790,5949,True,Pre-AC,21453.0,-15504.0,-72.27
G3700950,37.095.0,North Carolina,37.0,Hyde County,Hyde,95.0,1790,4204,True,Pre-AC,6479.0,-2275.0,-35.11
G3700970,37.097.0,North Carolina,37.0,Iredell County,Iredell,97.0,1790,5430,True,Pre-AC,56303.0,-50873.0,-90.36
G3701010,37.0101.0,North Carolina,37.0,Johnston County,Johnston,101.0,1790,5691,True,Pre-AC,65906.0,-60215.0,-91.36
G3701030,37.0103.0,North Carolina,37.0,Jones County,Jones,103.0,1790,4796,True,Pre-AC,11004.0,-6208.0,-56.42
G3701090,37.0109.0,North Carolina,37.0,Lincoln County,Lincoln,109.0,1790,9246,True,Pre-AC,27459.0,-18213.0,-66.33
G3701170,37.0117.0,North Carolina,37.0,Martin County,Martin,117.0,1790,6010,True,Pre-AC,27938.0,-21928.0,-78.49
G3701190,37.0119.0,North Carolina,37.0,Mecklenburg County,Mecklenburg,119.0,1790,11360,True,Pre-AC,197052.0,-185692.0,-94.24
G3701230,37.0123.0,North Carolina,37.0,Montgomery County,Montgomery,123.0,1790,5039,True,Pre-AC,17260.0,-12221.0,-70.81
G3701250,37.0125.0,North Carolina,37.0,Moore County,Moore,125.0,1790,3870,True,Pre-AC,33129.0,-29259.0,-88.32
G3701270,37.0127.0,North Carolina,37.0,Nash County,Nash,127.0,1790,7390,True,Pre-AC,59919.0,-52529.0,-87.67
G3701290,37.0129.0,North Carolina,37.0,New Hanover County,New Hanover,129.0,1790,6837,True,Pre-AC,63272.0,-56435.0,-89.19
G3701310,37.0131.0,North Carolina,37.0,Northampton County,Northampton,131.0,1790,9992,True,Pre-AC,28432.0,-18440.0,-64.86
G3701330,37.0133.0,North Carolina,37.0,Onslow County,Onslow,133.0,1790,5427,True,Pre-AC,42047.0,-36620.0,-87.09
G3701350,37.0135.0,North Carolina,37.0,Orange County,Orange,135.0,1790,12216,True,Pre-AC,34435.0,-22219.0,-64.52
G3701390,37.0139.0,North Carolina,37.0,Pasquotank County,Pasquotank,139.0,1790,5477,True,Pre-AC,24347.0,-18870.0,-77.5
G3701430,37.0143.0,North Carolina,37.0,Perquimans County,Perquimans,143.0,1790,5439,True,Pre-AC,9602.0,-4163.0,-43.36
G3701470,37.0147.0,North Carolina,37.0,Pitt County,Pitt,147.0,1790,8270,True,Pre-AC,63789.0,-55519.0,-87.04
G3701510,37.0151.0,North Carolina,37.0,Randolph County,Randolph,151.0,1790,7318,True,Pre-AC,50804.0,-43486.0,-85.6
G3701530,37.0153.0,North Carolina,37.0,Richmond County,Richmond,153.0,1790,5053,True,Pre-AC,39597.0,-34544.0,-87.24
G3701550,37.0155.0,North Carolina,37.0,Robeson County,Robeson,155.0,1790,5343,True,Pre-AC,87769.0,-82426.0,-93.91
G3701570,37.0157.0,North Carolina,37.0,Rockingham County,Rockingham,157.0,1790,6211,True,Pre-AC,64816.0,-58605.0,-90.42
G3701590,37.0159.0,North Carolina,37.0,Rowan County,Rowan,159.0,1790,15972,True,Pre-AC,75410.0,-59438.0,-78.82
G3701610,37.0161.0,North Carolina,37.0,Rutherford County,Rutherford,161.0,1790,7808,True,Pre-AC,46356.0,-38548.0,-83.16
G3701630,37.0163.0,North Carolina,37.0,Sampson County,Sampson,163.0,1790,6162,True,Pre-AC,49780.0,-43618.0,-87.62
G3701690,37.0169.0,North Carolina,37.0,Stokes County,Stokes,169.0,1790,8423,True,Pre-AC,21520.0,-13097.0,-60.86
G3701710,37.0171.0,North Carolina,37.0,Surry County,Surry,171.0,1790,7192,True,Pre-AC,45593.0,-38401.0,-84.23
G3701770,37.0177.0,North Carolina,37.0,Tyrrell County,Tyrrell,177.0,1790,4826,True,Pre-AC,5048.0,-222.0,-4.4
G3701830,37.0183.0,North Carolina,37.0,Wake County,Wake,183.0,1790,10198,True,Pre-AC,136450.0,-126252.0,-92.53
G3701850,37.0185.0,North Carolina,37.0,Warren County,Warren,185.0,1790,9379,True,Pre-AC,23539.0,-14160.0,-60.16
G3701910,37.0191.0,North Carolina,37.0,Wayne County,Wayne,191.0,1790,6115,True,Pre-AC,64267.0,-58152.0,-90.49
