STATE,STATEFP,YEAR,AC_ERA,STATE_POPULATION,POP_1950,PCT_CHANGE_FROM_1950
Alabama,1.0,1820,Pre-AC,144317,3061743,-95.29
Alabama,1.0,1830,Pre-AC,309527,3061743,-89.89
Alabama,1.0,1840,Pre-AC,590756,3061743,-80.71
Alabama,1.0,1850,Pre-AC,771623,3061743,-74.8
Alabama,1.0,1860,Pre-AC,964201,3061743,-68.51
Alabama,1.0,1870,Pre-AC,996992,3061743,-67.44
Alabama,1.0,1880,Pre-AC,1262505,3061743,-58.77
Alabama,1.0,1890,Pre-AC,1513017,3061743,-50.58
Alabama,1.0,1900,Pre-AC,1828697,3061743,-40.27
Alabama,1.0,1910,Pre-AC,2138093,3061743,-30.17
Alabama,1.0,1920,Pre-AC,2348174,3061743,-23.31
Alabama,1.0,1930,Pre-AC,2646248,3061743,-13.57
Alabama,1.0,1940,Pre-AC,2832961,3061743,-7.47
Alabama,1.0,1950,Early AC,3061743,3061743,0.0
Alabama,1.0,1960,Early AC,3266740,3061743,6.7
Alabama,1.0,1970,AC Era,3444165,3061743,12.49
Alabama,1.0,1980,AC Era,3893888,3061743,27.18
Alabama,1.0,1990,AC Era,4040587,3061743,31.97
Alabama,1.0,2000,AC Era,4447100,3061743,45.25
Alabama,1.0,2010,AC Era,4779736,3061743,56.11
Alabama,1.0,2020,AC Era,5024279,3061743,64.1
Arkansas,5.0,1840,Pre-AC,97574,1909511,-94.89
Arkansas,5.0,1850,Pre-AC,209897,1909511,-89.01
Arkansas,5.0,1860,Pre-AC,435450,1909511,-77.2
Arkansas,5.0,1870,Pre-AC,484471,1909511,-74.63
Arkansas,5.0,1880,Pre-AC,802525,1909511,-57.97
Arkansas,5.0,1890,Pre-AC,1128179,1909511,-40.92
Arkansas,5.0,1900,Pre-AC,1311564,1909511,-31.31
Arkansas,5.0,1910,Pre-AC,1574449,1909511,-17.55
Arkansas,5.0,1920,Pre-AC,1752204,1909511,-8.24
Arkansas,5.0,1930,Pre-AC,1854482,1909511,-2.88
Arkansas,5.0,1940,Pre-AC,1949387,1909511,2.09
Arkansas,5.0,1950,Early AC,1909511,1909511,0.0
Arkansas,5.0,1960,Early AC,1786272,1909511,-6.45
Arkansas,5.0,1970,AC Era,1923295,1909511,0.72
Arkansas,5.0,1980,AC Era,2286435,1909511,19.74
Arkansas,5.0,1990,AC Era,2350725,1909511,23.11
Arkansas,5.0,2000,AC Era,2673400,1909511,40.0
Arkansas,5.0,2010,AC Era,2915918,1909511,52.7
Arkansas,5.0,2020,AC Era,3011524,1909511,57.71
Florida,12.0,1850,Pre-AC,87445,2771305,-96.84
Florida,12.0,1860,Pre-AC,140424,2771305,-94.93
Florida,12.0,1870,Pre-AC,187748,2771305,-93.23
Florida,12.0,1880,Pre-AC,269493,2771305,-90.28
Florida,12.0,1890,Pre-AC,391422,2771305,-85.88
Florida,12.0,1900,Pre-AC,528542,2771305,-80.93
Florida,12.0,1910,Pre-AC,752619,2771305,-72.84
Florida,12.0,1920,Pre-AC,968470,2771305,-65.05
Florida,12.0,1930,Pre-AC,1468211,2771305,-47.02
Florida,12.0,1940,Pre-AC,1897414,2771305,-31.53
Florida,12.0,1950,Early AC,2771305,2771305,0.0
Florida,12.0,1960,Early AC,4951560,2771305,78.67
Florida,12.0,1970,AC Era,6789443,2771305,144.99
Florida,12.0,1980,AC Era,9746324,2771305,251.69
Florida,12.0,1990,AC Era,12937926,2771305,366.85
Florida,12.0,2000,AC Era,15982378,2771305,476.71
Florida,12.0,2010,AC Era,18801310,2771305,578.43
